area_type,location,size,society,sqrft,bathroom,facing,price_fin
Builtup,4 BHK Flat  In Kalpataru Matru Ashish For Sale  In Matunga East,4 BHK,4 BHK Flat  In Kalpataru Matru Ashish For Sale  In Matunga East,3454 sqft,4,East,13.75 Crores
Builtup,3 BHK Flat  In Parasmani Apartments For Sale  In Matunga East,3 BHK,3 BHK Flat  In Parasmani Apartments For Sale  In Matunga East,1300 sqft,3,South,3.41 Crores
Builtup,3 BHK Flat  In Godrej Five Garden For Sale  In Matunga  East,3 BHK,3 BHK Flat  In Godrej Five Garden For Sale  In Matunga  East,2137 sqft,3,East,9.99 Crores
Builtup,3 BHK Flat  In Kalpataru Matru Ashish For Sale  In Matunga East,3 BHK,3 BHK Flat  In Kalpataru Matru Ashish For Sale  In Matunga East,2304 sqft,3,East,9.2 Crores
Builtup,2 BHK Apartment  In Hubtown Harmony For Sale  In Matunga East,2 BHK,2 BHK Apartment  In Hubtown Harmony For Sale  In Matunga East,572 sqft,2,East,1.62 Crores
Builtup,4 BHK Flat  In Palai For Sale  In Matunga C.r,4 BHK,4 BHK Flat  In Palai For Sale  In Matunga C.r,1900 sqft,3,West,9 Crores
Builtup,"3 BHK Apartment  In Hubtown Harmony, Matunga East For Sale  In Matunga East",3 BHK,"3 BHK Apartment  In Hubtown Harmony, Matunga East For Sale  In Matunga East",700 sqft,3,East,2 Crores
Builtup,3 BHK Flat  In Hubtown For Sale  In Matunga,3 BHK,3 BHK Flat  In Hubtown For Sale  In Matunga,1100 sqft,2,East,2 Crores
Builtup,3 BHK Apartment  In Hubtown Harmony B Wing For Sale  In Matunga,3 BHK,3 BHK Apartment  In Hubtown Harmony B Wing For Sale  In Matunga,735 sqft,2,West,2.3 Crores
Builtup,3 BHK Apartment  In Pragati Paradise For Sale  In Matunga East,3 BHK,3 BHK Apartment  In Pragati Paradise For Sale  In Matunga East,1400 sqft,3,West,9 Crores
Builtup,3 BHK Apartment  In Amrut Smruti For Sale  In Matunga,3 BHK,3 BHK Apartment  In Amrut Smruti For Sale  In Matunga,1496 sqft,3,South-West,6 Crores
Builtup,3 BHK Apartment  In Endemic Maheshwari Bhuvan For Sale  In Matunga East,3 BHK,3 BHK Apartment  In Endemic Maheshwari Bhuvan For Sale  In Matunga East,1350 sqft,3,North,4.5 Crores
Builtup,"3 BHK Flat  In Apartment For Sale  In Matunga East,",3 BHK,"3 BHK Flat  In Apartment For Sale  In Matunga East,",1700 sqft,3,Don''t Know,5.75 Crores
Builtup,2 BHK Flat  In Vastu Matunga For Sale  In Brahmnwada,2 BHK,2 BHK Flat  In Vastu Matunga For Sale  In Brahmnwada,1160 sqft,2,North-East,3.55 Crores
Builtup,2 BHK Apartment  In Mahavir Ville For Sale  In Matunga East,2 BHK,2 BHK Apartment  In Mahavir Ville For Sale  In Matunga East,618 sqft,2,South-West,2.75 Crores
Builtup,1 BHK Flat  In Riddhi Siddhi Apartment For Sale  In Matunga East,1 BHK,1 BHK Flat  In Riddhi Siddhi Apartment For Sale  In Matunga East,450 sqft,2,Don''t Know,2.8 Crores
Builtup,2 BHK Apartment  In Hubtown Heaven For Sale  In Matunga,2 BHK,2 BHK Apartment  In Hubtown Heaven For Sale  In Matunga,1000 sqft,2,North,3 Crores
Builtup,2 BHK Flat  In Techno Residency For Sale  In Dadar East,2 BHK,2 BHK Flat  In Techno Residency For Sale  In Dadar East,825 sqft,2,Don''t Know,3.1 Crores
Builtup,1 BHK Flat  In Ishan A Tower  For Sale  In Matunga,1 BHK,1 BHK Flat  In Ishan A Tower  For Sale  In Matunga,375 sqft,1,Don''t Know,1.25 Crores
Builtup,2 BHK Flat  In Jaimangal Society For Sale  In Matunga,2 BHK,2 BHK Flat  In Jaimangal Society For Sale  In Matunga,650 sqft,2,East,1.75 Crores
Builtup,2 BHK Flat  In Krushna Kunj Apartment For Sale  In Matunga East,2 BHK,2 BHK Flat  In Krushna Kunj Apartment For Sale  In Matunga East,900 sqft,2,East,3.2 Crores
Builtup,2 BHK Flat  In Parasmani Apartments For Sale  In Matunga East,2 BHK,2 BHK Flat  In Parasmani Apartments For Sale  In Matunga East,1080 sqft,2,East,3.11 Crores
Builtup,2 BHK Flat  In Pragati Paradise For Sale  In Matunga,2 BHK,2 BHK Flat  In Pragati Paradise For Sale  In Matunga,581 sqft,2,South-East,2.25 Crores
Builtup,2 BHK Apartment  In Bhaveshwar Kripa For Sale  In Matunga East,2 BHK,2 BHK Apartment  In Bhaveshwar Kripa For Sale  In Matunga East,712 sqft,2,North,2.3 Crores
Builtup,"2 BHK Apartment  In Sach 9 Uma Ishaan Apartment, Matunga East For Sale  In Matunga East",2 BHK,"2 BHK Apartment  In Sach 9 Uma Ishaan Apartment, Matunga East For Sale  In Matunga East",750 sqft,2,West,2.9 Crores
Builtup,1 BHK Flat  For Sale  In Matunga,1 BHK,1 BHK Flat  For Sale  In Matunga,500 sqft,2,East,1.3 Crores
Builtup,3 BHK Flat  In Hubtown For Sale  In Matunga,3 BHK,3 BHK Flat  In Hubtown For Sale  In Matunga,1100 sqft,2,East,2 Crores
Builtup,3 BHK Apartment  In Amrut Smruti For Sale  In Matunga,3 BHK,3 BHK Apartment  In Amrut Smruti For Sale  In Matunga,1496 sqft,3,South-West,6 Crores
Builtup,2 BHK Apartment  In Bhaveshwar Kripa For Sale  In Matunga East,2 BHK,2 BHK Apartment  In Bhaveshwar Kripa For Sale  In Matunga East,712 sqft,2,North,2.3 Crores
Builtup,4 BHK Flat  In Palai For Sale  In Matunga C.r,4 BHK,4 BHK Flat  In Palai For Sale  In Matunga C.r,1900 sqft,3,West,9 Crores
Builtup,3 BHK Flat  In Kalpataru Matru Ashish For Sale  In Matunga East,3 BHK,3 BHK Flat  In Kalpataru Matru Ashish For Sale  In Matunga East,2304 sqft,3,East,9.2 Crores
Builtup,4 BHK Flat  In Kalpataru Matru Ashish For Sale  In Matunga East,4 BHK,4 BHK Flat  In Kalpataru Matru Ashish For Sale  In Matunga East,3454 sqft,4,East,13.75 Crores
Builtup,1 BHK Flat  For Sale  In Matunga,1 BHK,1 BHK Flat  For Sale  In Matunga,500 sqft,2,East,1.3 Crores
Builtup,2 BHK Flat  In Krushna Kunj Apartment For Sale  In Matunga East,2 BHK,2 BHK Flat  In Krushna Kunj Apartment For Sale  In Matunga East,900 sqft,2,East,3.2 Crores
Builtup,2 BHK Apartment  In Mahavir Ville For Sale  In Matunga East,2 BHK,2 BHK Apartment  In Mahavir Ville For Sale  In Matunga East,618 sqft,2,South-West,2.75 Crores
Builtup,1 BHK Flat  In Ishan A Tower  For Sale  In Matunga,1 BHK,1 BHK Flat  In Ishan A Tower  For Sale  In Matunga,375 sqft,1,Don''t Know,1.25 Crores
Builtup,3 BHK Flat  In Parasmani Apartments For Sale  In Matunga East,3 BHK,3 BHK Flat  In Parasmani Apartments For Sale  In Matunga East,1300 sqft,3,South,3.41 Crores
Builtup,2 BHK Flat  In Parasmani Apartments For Sale  In Matunga East,2 BHK,2 BHK Flat  In Parasmani Apartments For Sale  In Matunga East,1080 sqft,2,East,3.11 Crores
Builtup,3 BHK Apartment  In Endemic Maheshwari Bhuvan For Sale  In Matunga East,3 BHK,3 BHK Apartment  In Endemic Maheshwari Bhuvan For Sale  In Matunga East,1350 sqft,3,North,4.5 Crores
Builtup,2 BHK Flat  In Vastu Matunga For Sale  In Brahmnwada,2 BHK,2 BHK Flat  In Vastu Matunga For Sale  In Brahmnwada,1160 sqft,2,North-East,3.55 Crores
Builtup,2 BHK Flat  In Jaimangal Society For Sale  In Matunga,2 BHK,2 BHK Flat  In Jaimangal Society For Sale  In Matunga,650 sqft,2,East,1.75 Crores
